20K	5718.dat
2.0M	5719.dat
116K	5721.dat
33M	5723.dat
100K	5725.dat
4.0K	5727.dat
1.6M	5729.dat
16K	5731.dat
12K	5733.dat
32K	5734.dat
8.7M	5736.dat
164K	5738.dat
56K	5740.dat
110M	5742.dat
208K	5744.dat
336K	5746.dat
8.8M	5748.dat
8.0K	5750.dat
36K	5752.dat
4.0K	5754.dat
4.0K	5756.dat
4.0K	5758.dat
4.0K	5760.dat
4.0K	5762.dat
4.0K	5764.dat
118G	5766.dat
4.0K	5768.dat
4.0K	5770.dat
80K	5771.dat
648K	5772.dat
4.0K	5774.dat
4.0K	5776.dat
2.7G	5778.dat
4.0K	5780.dat
4.0K	5781.dat
229G	5787.dat
68K	5788.dat
453M	5789.dat
187M	5790.dat
364K	5791.dat
14M	5793.dat
87M	5794.dat
4.0K	5798.dat
4.0K	5802.dat
12K	5803.dat
8.0K	5804.dat
9.8M	5806.dat
31M	5808.dat
532K	5810.dat
113G	5811.dat
198G	5812.dat
92M	5814.dat
24M	5816.dat
16K	5818.dat
136K	5820.dat
64M	5822.dat
376K	5823.dat
7.7G	5825.dat
12K	5826.dat
184M	5828.dat
16K	5829.dat
4.0K	5830.dat
93M	5833.dat
4.0K	5834.dat
3.2G	5835.dat
1.5G	5836.dat
2.1G	5837.dat
732K	5838.dat
24G	5839.dat
512K	toc.dat
